element_type,osmid,barrier,name,geometry,source,created_by,access,addr:city,addr:street,wikidata,wikipedia,wheelchair,highway,source:date,source:name,alt_name,amenity,fee,layer,parking,addr:housenumber,addr:postcode,note,opening_hours,url,operator,leisure,natural,addr:country,website,description,check_date,height,historic,nodes,name:en,name:it,name:ko,name:pl,name:ru,old_name,name:etymology:wikidata,place,postal_code,surface,landuse,name:es,source:name:en,check_date:opening_hours,contact:phone,designation,name:1983-2016,fence_type,lit,addr:unit,loc_name,addr:housename,property,noname,building,area,name:2023-10-09-,internet_access,fixme,source:old_name,nohousenumber,smoothness,park,note:es,start_date,bench,source:geometry,source:geometry:date,ways,type,tourism,old_name:-2018,old_name:2018-2019,phone,name:ca,source:opening_hours,contact:facebook
way,24728902,,,"POLYGON ((-3.7849369 40.4590472, -3.7847665 40.4588127, -3.7844489 40.4589171, -3.7843151 40.4590593, -3.7848875 40.4591233, -3.7849369 40.4590472))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[268771726, 268771727, 268771729, 268771730, 1583551084, 268771726]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24729071,,Parque de las Siete Cabras,"POLYGON ((-3.7824625 40.4564323, -3.7819545 40.4564459, -3.781879 40.4559204, -3.7824248 40.4559242, -3.7824625 40.4564323))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[6549080540, 268773162, 268773165, 6549080539, 6549080540]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24729218,,Plaza de Nuestra Señora del Buen Camino,"POLYGON ((-3.7817882 40.4576119, -3.7816264 40.4574621, -3.7815947 40.4574327, -3.7816298 40.4574111, -3.7816108 40.4573922, -3.7815517 40.4573337, -3.7815035 40.4573195, -3.7815087 40.4572458, -3.7816245 40.4571701, -3.7820539 40.4570614, -3.7821025 40.4571412, -3.7821191 40.4571686, -3.7821243 40.4572064, -3.7821344 40.4572793, -3.7821452 40.4573566, -3.7821531 40.457414, -3.782066 40.4574561, -3.7819782 40.4574985, -3.7818788 40.4575471, -3.7817882 40.4576119))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[268773948, 4731052605, 1583551014, 1583551012, 4790603522, 1583551009, 268773949, 1583551004, 1583550997, 268773950, 4730654830, 1583551002, 4790370486, 4790370481, 4790370480, 268773951, 4731088317, 4731088315, 4731052611, 268773948]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24934056,,Parque La Rinconada,"POLYGON ((-3.766421 40.4577605, -3.765665 40.4577948, -3.7656359 40.4577791, -3.7656139 40.4577295, -3.7655804 40.4576632, -3.7654932 40.457606, -3.765339 40.4575583, -3.7624428 40.4575076, -3.7618847 40.457578, -3.7614737 40.457686, -3.7610576 40.4578805, -3.7608786 40.4580726, -3.7604796 40.4575113, -3.7651999 40.45612, -3.7652675 40.4560247, -3.7653523 40.4560661, -3.7652644 40.4561858, -3.7653976 40.4564786, -3.7652801 40.4566129, -3.7663086 40.457192, -3.7663641 40.4572536, -3.7664073 40.4573277, -3.7664727 40.4576975, -3.7664714 40.4577473, -3.766421 40.4577605))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[270954598, 270954599, 1431805893, 270954602, 1431805881, 270954603, 270954604, 270954605, 270954606, 1431805882, 1431805897, 266857598, 266857599, 270954610, 1431805734, 1431805735, 1431805742, 1431805777, 270954611, 270954612, 1431805861, 1431805877, 1431805888, 1431805891, 270954598]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25171067,,,"POLYGON ((-3.668171 40.4815826, -3.6677412 40.4819595, -3.667511 40.4822, -3.6674722 40.4822139, -3.6674333 40.4822164, -3.6673958 40.4822096, -3.667156 40.4820573, -3.6662951 40.4814957, -3.6662055 40.4814343, -3.6661861 40.4813974, -3.6661883 40.4813646, -3.6662048 40.4813272, -3.6664541 40.4811076, -3.6664534 40.4813493, -3.6668972 40.4813486, -3.6669004 40.4810504, -3.6669316 40.4810486, -3.6670439 40.4810847, -3.6671377 40.4811077, -3.6672831 40.4811348, -3.6673066 40.4811444, -3.667319 40.4811619, -3.667318 40.4813236, -3.6672948 40.4813233, -3.6672585 40.4813226, -3.6672515 40.4815596, -3.6676891 40.4815641, -3.6676903 40.4813307, -3.667657 40.4813273, -3.6676353 40.481327, -3.6676423 40.4811666, -3.6676552 40.4811427, -3.668016 40.48106, -3.6680117 40.481356, -3.6683981 40.4813579, -3.668171 40.4815826))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[274385211, 2606625376, 2964872204, 2964872210, 2964872211, 274385212, 303816202, 303816191, 2964872003, 2964871992, 2964871976, 274385213, 274385214, 2607263855, 274385216, 274385217, 2964870787, 2964870791, 2964870793, 274385218, 2964870802, 2964870808, 2964871950, 2964871949, 2964871947, 274385219, 274385220, 2964871959, 2964871956, 2964871955, 274385221, 2964870801, 274385222, 274385223, 2606625345, 274385211]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25171205,,Parque Condado de Treviño,"POLYGON ((-3.6678855 40.4820909, -3.6680124 40.482084, -3.668222 40.4819873, -3.6682968 40.4821027, -3.6683629 40.4820779, -3.6685127 40.482017, -3.668516 40.481815, -3.6689035 40.4818169, -3.6689023 40.48184, -3.6691797 40.4817072, -3.6691823 40.4816798, -3.6693572 40.4816836, -3.6693647 40.4814014, -3.6694104 40.4814036, -3.669815 40.4814032, -3.6698399 40.4813945, -3.6700942 40.4815274, -3.6702307 40.4813776, -3.6701126 40.4812827, -3.6703592 40.4811125, -3.6703162 40.4810538, -3.6701703 40.4811321, -3.6699557 40.4810995, -3.6699815 40.4807339, -3.6697755 40.4807208, -3.6697498 40.4803552, -3.6696443 40.4801025, -3.6695046 40.4801379, -3.6694923 40.4804923, -3.6691138 40.4804993, -3.669116 40.4809083, -3.6687411 40.4809091, -3.6686967 40.4809017, -3.6686565 40.4806831, -3.6686618 40.4805381, -3.6686561 40.4805105, -3.6686127 40.4804067, -3.6683945 40.480471, -3.6683582 40.4805153, -3.668362 40.4805685, -3.6683859 40.4806085, -3.6684716 40.4806902, -3.6685441 40.4807832, -3.6686058 40.4808763, -3.6686956 40.4810993, -3.6686987 40.481211, -3.6686686 40.4813464, -3.668562 40.4815079, -3.6684511 40.4816071, -3.6680813 40.4819372, -3.6678855 40.4820909))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[274386349, 274386350, 274386351, 2964872185, 274386352, 274386353, 274386354, 274386355, 2964872147, 2964872133, 2964872026, 274386357, 2964871993, 274386358, 274386359, 2964871990, 2964872012, 274386361, 274386362, 274386363, 274386364, 274386365, 274386366, 274386367, 274386368, 274387263, 274386370, 274386371, 274386372, 274386373, 274386374, 8791448130, 8791448141, 8791448140, 8791448139, 8791448136, 8791448135, 8791448134, 8791448133, 8791448137, 8791448132, 8791448131, 8791448138, 274386375, 274386380, 2964870821, 274386381, 2964872009, 274386382, 2964872169, 274386349]",,,,,,,Q946251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25171385,,,"POLYGON ((-3.6736972 40.4805067, -3.6730792 40.4803304, -3.672547 40.4800954, -3.6732108 40.4809925, -3.6732171 40.48101, -3.6732107 40.481041, -3.6731925 40.4810601, -3.672925 40.4811935, -3.6728979 40.4814623, -3.673009 40.4815599, -3.6730302 40.4816871, -3.6729165 40.4820351, -3.6730256 40.4820562, -3.6729507 40.482208, -3.6727117 40.4825175, -3.6725131 40.4824298, -3.6724222 40.4824947, -3.6726109 40.4826461, -3.6719491 40.4831339, -3.6718243 40.4830363, -3.671585 40.4831549, -3.6716396 40.483336, -3.6707451 40.4834955, -3.6707006 40.4833461, -3.6702296 40.4835554, -3.6701256 40.4834127, -3.6697914 40.4834791, -3.6697886 40.4835504, -3.6693317 40.4835433, -3.6693317 40.4835803, -3.6689052 40.4835803, -3.6689078 40.4835513, -3.6682963 40.4835513, -3.6682963 40.4835423, -3.6678657 40.4835413, -3.6676506 40.4835024, -3.667559 40.4834508, -3.6674698 40.483406, -3.6673798 40.4833605, -3.6672926 40.4833167, -3.6672017 40.4832708, -3.6671116 40.4832264, -3.6670292 40.4831841, -3.6669305 40.4831354, -3.6668908 40.483115, -3.666659 40.4833204, -3.6665083 40.4832151, -3.6665294 40.4831743, -3.6665184 40.4831187, -3.6664913 40.4830937, -3.6668287 40.4828208, -3.666736 40.4827658, -3.6666113 40.482695, -3.666592 40.4824845, -3.6669509 40.4821649, -3.6666759 40.4820013, -3.6664832 40.4823033, -3.6662268 40.4822248, -3.6660916 40.4822577, -3.6659263 40.482245, -3.6658386 40.4823437, -3.6659752 40.4824279, -3.6661402 40.4825441, -3.6661161 40.4827857, -3.6661037 40.4830152, -3.6661963 40.4830164, -3.6661357 40.4833344, -3.6656698 40.4832834, -3.6651947 40.4832313, -3.6651926 40.4830668, -3.6645438 40.4830661, -3.6643928 40.4830491, -3.6644008 40.4831032, -3.6644292 40.483158, -3.6644914 40.4832161, -3.6646037 40.4832734, -3.6647364 40.4833253, -3.6649242 40.4833816, -3.6651024 40.4834234, -3.6652238 40.4834364, -3.6660239 40.483686, -3.6671265 40.483831, -3.6685731 40.4839863, -3.6698519 40.4839537, -3.6705214 40.4838884, -3.6711051 40.4837382, -3.6716887 40.4834118, -3.6721265 40.4831442, -3.672344 40.4829923, -3.6728131 40.4825958, -3.6731993 40.4821192, -3.6736113 40.4810355, -3.6736972 40.4805067))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[274387956, 274387958, 274387959, 274387960, 2964870783, 2964870786, 2964870790, 9648613971, 274387963, 2964872019, 274387964, 274387965, 2964872180, 274387967, 2964872370, 2964872353, 274387968, 274387969, 274387970, 2964872645, 2964872670, 274387973, 274387976, 274387978, 274387981, 274387983, 274387985, 274387987, 2964872898, 2964872902, 2964872901, 2964872900, 2964872899, 2964872897, 274387989, 2964872880, 2964872877, 2964872847, 2964872839, 2964872716, 2964872699, 2964872687, 2964872677, 2964872664, 274387991, 274387993, 274387995, 8791403861, 8791403862, 8791403860, 2606625448, 274387997, 274387999, 2606625404, 274388001, 274388003, 274388005, 274388007, 274388010, 8791403864, 8791403865, 8791403863, 274388012, 300670259, 3037286069, 300675852, 274388015, 3037286079, 274388017, 274388019, 274388022, 274388023, 3037286076, 3037286077, 274388025, 3037286078, 3037286080, 3037286081, 3037286082, 3037286083, 274388027, 274388028, 274388029, 274388030, 274388031, 274388032, 274388033, 274388034, 274389191, 274388035, 274388036, 274388037, 274387956]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26115130,,,"POLYGON ((-3.6644249 40.4604502, -3.6641394 40.4605749, -3.6639064 40.4607161, -3.6637683 40.4608957, -3.6637062 40.4610713, -3.6636934 40.4612445, -3.6637223 40.4613897, -3.6638656 40.4616238, -3.6640288 40.4617564, -3.6647238 40.46113, -3.6650874 40.4617249, -3.6643646 40.4620587, -3.66465 40.4623673, -3.6649106 40.4622442, -3.6649793 40.4623422, -3.6651595 40.4622834, -3.6652519 40.4624393, -3.6648682 40.4626014, -3.6648464 40.4626476, -3.6650732 40.4630051, -3.665214 40.4632714, -3.6657027 40.4631313, -3.6657629 40.4632457, -3.6659841 40.4631871, -3.665687 40.4626085, -3.6651519 40.461677, -3.6644249 40.4604502))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[285892820, 4917409699, 285892821, 320597366, 285892822, 320597377, 285892823, 285892824, 285892825, 285892826, 285892828, 285892830, 285892831, 285892833, 285892835, 285892836, 285892837, 4917394693, 285892838, 4917394697, 285892839, 285892840, 285892841, 285892842, 4917409711, 4917409705, 285892820]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26116920,,,"POLYGON ((-3.660429 40.4676053, -3.6593231 40.467306, -3.6592577 40.467354, -3.6592064 40.4674002, -3.6592577 40.4674748, -3.6592764 40.467521, -3.6593155 40.4675738, -3.6593179 40.4680425, -3.6596315 40.4680447, -3.6599841 40.4680438, -3.660135 40.4680048, -3.6602338 40.4679446, -3.6603074 40.4678601, -3.660429 40.4676053))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[285909070, 285909071, 2661565406, 285909072, 2661565407, 2661565405, 285909073, 285909074, 285909075, 2661565404, 285909076, 2661565408, 285909077, 285909070]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26117428,,,"POLYGON ((-3.6586877 40.4710291, -3.6586555 40.4711, -3.658599 40.4711627, -3.6621032 40.4725328, -3.6622728 40.4726105, -3.6624393 40.4726867, -3.6624255 40.472623, -3.6623094 40.472569, -3.6606214 40.4717836, -3.6596083 40.4713516, -3.659251 40.4712076, -3.6586877 40.4710291))",,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,"[285915795, 3158289738, 285915796, 3158292066, 7276420745, 285915797, 285915798, 7276420744, 285915799, 285915800, 3158289750, 285915795]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
