,Secciones,Indicadores de renta media y mediana,Periodo,Total
3787,2800503012 Alcalá de Henares sección 03012,Renta neta media por hogar,2021,30.532
3829,2800503013 Alcalá de Henares sección 03013,Renta neta media por hogar,2021,57.560
3871,2800503014 Alcalá de Henares sección 03014,Renta neta media por hogar,2021,39.383
3913,2800503015 Alcalá de Henares sección 03015,Renta neta media por hogar,2021,43.285
3955,2800503016 Alcalá de Henares sección 03016,Renta neta media por hogar,2021,62.754
3997,2800503017 Alcalá de Henares sección 03017,Renta neta media por hogar,2021,54.862
4081,2800504001 Alcalá de Henares sección 04001,Renta neta media por hogar,2021,59.358
4123,2800504002 Alcalá de Henares sección 04002,Renta neta media por hogar,2021,58.931
4165,2800504003 Alcalá de Henares sección 04003,Renta neta media por hogar,2021,51.498
4207,2800504004 Alcalá de Henares sección 04004,Renta neta media por hogar,2021,64.928
4249,2800504005 Alcalá de Henares sección 04005,Renta neta media por hogar,2021,36.902
4291,2800504006 Alcalá de Henares sección 04006,Renta neta media por hogar,2021,36.323
4333,2800504007 Alcalá de Henares sección 04007,Renta neta media por hogar,2021,51.619
4375,2800504008 Alcalá de Henares sección 04008,Renta neta media por hogar,2021,48.805
4417,2800504009 Alcalá de Henares sección 04009,Renta neta media por hogar,2021,39.050
4459,2800504010 Alcalá de Henares sección 04010,Renta neta media por hogar,2021,55.301
4501,2800504011 Alcalá de Henares sección 04011,Renta neta media por hogar,2021,50.218
4543,2800504012 Alcalá de Henares sección 04012,Renta neta media por hogar,2021,30.105
4585,2800504013 Alcalá de Henares sección 04013,Renta neta media por hogar,2021,50.469
4627,2800504014 Alcalá de Henares sección 04014,Renta neta media por hogar,2021,51.038
4669,2800504015 Alcalá de Henares sección 04015,Renta neta media por hogar,2021,29.900
4711,2800504016 Alcalá de Henares sección 04016,Renta neta media por hogar,2021,49.510
4753,2800504017 Alcalá de Henares sección 04017,Renta neta media por hogar,2021,41.470
4795,2800504018 Alcalá de Henares sección 04018,Renta neta media por hogar,2021,39.266
4879,2800505001 Alcalá de Henares sección 05001,Renta neta media por hogar,2021,29.806
4921,2800505002 Alcalá de Henares sección 05002,Renta neta media por hogar,2021,34.477
4963,2800505003 Alcalá de Henares sección 05003,Renta neta media por hogar,2021,29.494
5005,2800505004 Alcalá de Henares sección 05004,Renta neta media por hogar,2021,28.040
5047,2800505005 Alcalá de Henares sección 05005,Renta neta media por hogar,2021,31.743
5089,2800505006 Alcalá de Henares sección 05006,Renta neta media por hogar,2021,43.066
5131,2800505007 Alcalá de Henares sección 05007,Renta neta media por hogar,2021,42.488
5173,2800505008 Alcalá de Henares sección 05008,Renta neta media por hogar,2021,38.592
5215,2800505009 Alcalá de Henares sección 05009,Renta neta media por hogar,2021,25.401
5257,2800505010 Alcalá de Henares sección 05010,Renta neta media por hogar,2021,29.451
5299,2800505011 Alcalá de Henares sección 05011,Renta neta media por hogar,2021,30.945
5341,2800505012 Alcalá de Henares sección 05012,Renta neta media por hogar,2021,27.122
5383,2800505013 Alcalá de Henares sección 05013,Renta neta media por hogar,2021,71.765
5425,2800505014 Alcalá de Henares sección 05014,Renta neta media por hogar,2021,36.389
5467,2800505015 Alcalá de Henares sección 05015,Renta neta media por hogar,2021,53.052
5509,2800505016 Alcalá de Henares sección 05016,Renta neta media por hogar,2021,59.890
5551,2800505017 Alcalá de Henares sección 05017,Renta neta media por hogar,2021,27.530
5593,2800505018 Alcalá de Henares sección 05018,Renta neta media por hogar,2021,37.908
5635,2800505019 Alcalá de Henares sección 05019,Renta neta media por hogar,2021,
5677,2800505020 Alcalá de Henares sección 05020,Renta neta media por hogar,2021,28.742
5719,2800505021 Alcalá de Henares sección 05021,Renta neta media por hogar,2021,32.409
5761,2800505022 Alcalá de Henares sección 05022,Renta neta media por hogar,2021,52.188
5803,2800505023 Alcalá de Henares sección 05023,Renta neta media por hogar,2021,31.912
5845,2800505024 Alcalá de Henares sección 05024,Renta neta media por hogar,2021,28.392
5887,2800505025 Alcalá de Henares sección 05025,Renta neta media por hogar,2021,32.843
5929,2800505026 Alcalá de Henares sección 05026,Renta neta media por hogar,2021,29.190
5971,2800505027 Alcalá de Henares sección 05027,Renta neta media por hogar,2021,28.006
6013,2800505028 Alcalá de Henares sección 05028,Renta neta media por hogar,2021,40.982
6055,2800505029 Alcalá de Henares sección 05029,Renta neta media por hogar,2021,40.997
