,Secciones,Indicadores de renta media y mediana,Periodo,Total
37471,2805808013 Fuenlabrada sección 08013,Renta neta media por hogar,2021,32.521
37513,2805808014 Fuenlabrada sección 08014,Renta neta media por hogar,2021,29.005
37555,2805808015 Fuenlabrada sección 08015,Renta neta media por hogar,2021,36.502
37597,2805808016 Fuenlabrada sección 08016,Renta neta media por hogar,2021,46.349
37681,2805809001 Fuenlabrada sección 09001,Renta neta media por hogar,2021,31.163
37723,2805809002 Fuenlabrada sección 09002,Renta neta media por hogar,2021,36.095
37765,2805809003 Fuenlabrada sección 09003,Renta neta media por hogar,2021,34.995
37807,2805809004 Fuenlabrada sección 09004,Renta neta media por hogar,2021,35.898
37849,2805809005 Fuenlabrada sección 09005,Renta neta media por hogar,2021,37.979
37891,2805809006 Fuenlabrada sección 09006,Renta neta media por hogar,2021,43.850
37933,2805809007 Fuenlabrada sección 09007,Renta neta media por hogar,2021,37.068
37975,2805809008 Fuenlabrada sección 09008,Renta neta media por hogar,2021,36.614
38017,2805809009 Fuenlabrada sección 09009,Renta neta media por hogar,2021,32.082
38059,2805809010 Fuenlabrada sección 09010,Renta neta media por hogar,2021,35.279
38101,2805809011 Fuenlabrada sección 09011,Renta neta media por hogar,2021,35.624
38143,2805809012 Fuenlabrada sección 09012,Renta neta media por hogar,2021,43.761
38269,2805901001 Fuente el Saz de Jarama sección 01001,Renta neta media por hogar,2021,32.891
38311,2805901002 Fuente el Saz de Jarama sección 01002,Renta neta media por hogar,2021,49.463
38353,2805901003 Fuente el Saz de Jarama sección 01003,Renta neta media por hogar,2021,33.467
38479,2806001001 Fuentidueña de Tajo sección 01001,Renta neta media por hogar,2021,26.951
38605,2806101001 Galapagar sección 01001,Renta neta media por hogar,2021,36.930
38647,2806101002 Galapagar sección 01002,Renta neta media por hogar,2021,33.456
38689,2806101003 Galapagar sección 01003,Renta neta media por hogar,2021,34.461
38731,2806101004 Galapagar sección 01004,Renta neta media por hogar,2021,30.997
38773,2806101005 Galapagar sección 01005,Renta neta media por hogar,2021,49.421
38815,2806101006 Galapagar sección 01006,Renta neta media por hogar,2021,57.262
38857,2806101007 Galapagar sección 01007,Renta neta media por hogar,2021,55.208
38899,2806101008 Galapagar sección 01008,Renta neta media por hogar,2021,71.418
38941,2806101009 Galapagar sección 01009,Renta neta media por hogar,2021,47.624
38983,2806101010 Galapagar sección 01010,Renta neta media por hogar,2021,57.277
39025,2806101011 Galapagar sección 01011,Renta neta media por hogar,2021,28.599
39067,2806101012 Galapagar sección 01012,Renta neta media por hogar,2021,44.830
39109,2806101013 Galapagar sección 01013,Renta neta media por hogar,2021,51.563
39235,2806201001 Garganta de los Montes sección 01001,Renta neta media por hogar,2021,30.832
39361,2806301001 Gargantilla del Lozoya y Pinilla de Buitrago sección 01001,Renta neta media por hogar,2021,28.606
39487,2806401001 Gascones sección 01001,Renta neta media por hogar,2021,39.091
39613,2806501002 Getafe sección 01002,Renta neta media por hogar,2021,31.656
39655,2806501003 Getafe sección 01003,Renta neta media por hogar,2021,35.159
39697,2806501004 Getafe sección 01004,Renta neta media por hogar,2021,34.786
39739,2806501005 Getafe sección 01005,Renta neta media por hogar,2021,34.877
39781,2806501006 Getafe sección 01006,Renta neta media por hogar,2021,37.025
39823,2806501007 Getafe sección 01007,Renta neta media por hogar,2021,32.372
39865,2806501008 Getafe sección 01008,Renta neta media por hogar,2021,26.632
39907,2806501009 Getafe sección 01009,Renta neta media por hogar,2021,37.208
39949,2806501010 Getafe sección 01010,Renta neta media por hogar,2021,31.113
39991,2806501011 Getafe sección 01011,Renta neta media por hogar,2021,33.970
40033,2806501012 Getafe sección 01012,Renta neta media por hogar,2021,26.006
40075,2806501013 Getafe sección 01013,Renta neta media por hogar,2021,36.904
40117,2806501014 Getafe sección 01014,Renta neta media por hogar,2021,25.590
40159,2806501015 Getafe sección 01015,Renta neta media por hogar,2021,27.831
40201,2806501016 Getafe sección 01016,Renta neta media por hogar,2021,31.262
40243,2806501017 Getafe sección 01017,Renta neta media por hogar,2021,33.482
40285,2806501018 Getafe sección 01018,Renta neta media por hogar,2021,31.684
40327,2806501019 Getafe sección 01019,Renta neta media por hogar,2021,36.748
40411,2806502001 Getafe sección 02001,Renta neta media por hogar,2021,31.865
40453,2806502002 Getafe sección 02002,Renta neta media por hogar,2021,28.504
40495,2806502003 Getafe sección 02003,Renta neta media por hogar,2021,27.228
40537,2806502004 Getafe sección 02004,Renta neta media por hogar,2021,23.462
40579,2806502005 Getafe sección 02005,Renta neta media por hogar,2021,23.284
40621,2806502006 Getafe sección 02006,Renta neta media por hogar,2021,23.742
40663,2806502007 Getafe sección 02007,Renta neta media por hogar,2021,22.403
40705,2806502009 Getafe sección 02009,Renta neta media por hogar,2021,30.479
40747,2806502010 Getafe sección 02010,Renta neta media por hogar,2021,33.605
40789,2806502011 Getafe sección 02011,Renta neta media por hogar,2021,34.168
40831,2806502012 Getafe sección 02012,Renta neta media por hogar,2021,36.312
40873,2806502013 Getafe sección 02013,Renta neta media por hogar,2021,44.228
40915,2806502014 Getafe sección 02014,Renta neta media por hogar,2021,27.649
40957,2806502015 Getafe sección 02015,Renta neta media por hogar,2021,32.562
40999,2806502016 Getafe sección 02016,Renta neta media por hogar,2021,41.935
41041,2806502017 Getafe sección 02017,Renta neta media por hogar,2021,66.604
41083,2806502018 Getafe sección 02018,Renta neta media por hogar,2021,36.620
41125,2806502019 Getafe sección 02019,Renta neta media por hogar,2021,37.194
41167,2806502020 Getafe sección 02020,Renta neta media por hogar,2021,42.072
41209,2806502021 Getafe sección 02021,Renta neta media por hogar,2021,41.089
41251,2806502022 Getafe sección 02022,Renta neta media por hogar,2021,62.503
41335,2806503001 Getafe sección 03001,Renta neta media por hogar,2021,26.862
41377,2806503002 Getafe sección 03002,Renta neta media por hogar,2021,25.469
41419,2806503003 Getafe sección 03003,Renta neta media por hogar,2021,23.164
41461,2806503004 Getafe sección 03004,Renta neta media por hogar,2021,25.645
41503,2806503005 Getafe sección 03005,Renta neta media por hogar,2021,31.447
41545,2806503006 Getafe sección 03006,Renta neta media por hogar,2021,27.497
41587,2806503007 Getafe sección 03007,Renta neta media por hogar,2021,28.104
41629,2806503008 Getafe sección 03008,Renta neta media por hogar,2021,32.398
41671,2806503009 Getafe sección 03009,Renta neta media por hogar,2021,30.980
41713,2806503010 Getafe sección 03010,Renta neta media por hogar,2021,26.544
41755,2806503011 Getafe sección 03011,Renta neta media por hogar,2021,25.773
41797,2806503012 Getafe sección 03012,Renta neta media por hogar,2021,26.806
41839,2806503013 Getafe sección 03013,Renta neta media por hogar,2021,26.822
41881,2806503014 Getafe sección 03014,Renta neta media por hogar,2021,26.741
41923,2806503015 Getafe sección 03015,Renta neta media por hogar,2021,25.007
41965,2806503016 Getafe sección 03016,Renta neta media por hogar,2021,32.355
42007,2806503017 Getafe sección 03017,Renta neta media por hogar,2021,42.408
42049,2806503018 Getafe sección 03018,Renta neta media por hogar,2021,44.276
42091,2806503019 Getafe sección 03019,Renta neta media por hogar,2021,45.034
42133,2806503020 Getafe sección 03020,Renta neta media por hogar,2021,41.939
42175,2806503021 Getafe sección 03021,Renta neta media por hogar,2021,50.713
42217,2806503022 Getafe sección 03022,Renta neta media por hogar,2021,50.679
42259,2806503023 Getafe sección 03023,Renta neta media por hogar,2021,49.480
42301,2806503024 Getafe sección 03024,Renta neta media por hogar,2021,44.109
42343,2806503025 Getafe sección 03025,Renta neta media por hogar,2021,45.502
42385,2806503026 Getafe sección 03026,Renta neta media por hogar,2021,43.638
42427,2806503027 Getafe sección 03027,Renta neta media por hogar,2021,50.074
42469,2806503028 Getafe sección 03028,Renta neta media por hogar,2021,48.558
42511,2806503029 Getafe sección 03029,Renta neta media por hogar,2021,56.457
42553,2806503030 Getafe sección 03030,Renta neta media por hogar,2021,51.590
42595,2806503031 Getafe sección 03031,Renta neta media por hogar,2021,53.127
42637,2806503032 Getafe sección 03032,Renta neta media por hogar,2021,57.705
42679,2806503033 Getafe sección 03033,Renta neta media por hogar,2021,49.815
42721,2806503034 Getafe sección 03034,Renta neta media por hogar,2021,54.240
42763,2806503035 Getafe sección 03035,Renta neta media por hogar,2021,44.684
42805,2806503036 Getafe sección 03036,Renta neta media por hogar,2021,46.235
42847,2806503037 Getafe sección 03037,Renta neta media por hogar,2021,42.880
42889,2806503038 Getafe sección 03038,Renta neta media por hogar,2021,45.606
42931,2806503039 Getafe sección 03039,Renta neta media por hogar,2021,60.826
42973,2806503040 Getafe sección 03040,Renta neta media por hogar,2021,37.576
43015,2806503041 Getafe sección 03041,Renta neta media por hogar,2021,60.684
43057,2806503042 Getafe sección 03042,Renta neta media por hogar,2021,40.181
43099,2806503043 Getafe sección 03043,Renta neta media por hogar,2021,37.255
43141,2806503044 Getafe sección 03044,Renta neta media por hogar,2021,56.736
43183,2806503045 Getafe sección 03045,Renta neta media por hogar,2021,47.653
43225,2806503046 Getafe sección 03046,Renta neta media por hogar,2021,38.462
43267,2806503047 Getafe sección 03047,Renta neta media por hogar,2021,44.362
43351,2806504001 Getafe sección 04001,Renta neta media por hogar,2021,28.764
43393,2806504002 Getafe sección 04002,Renta neta media por hogar,2021,27.190
43435,2806504003 Getafe sección 04003,Renta neta media por hogar,2021,28.361
43477,2806504004 Getafe sección 04004,Renta neta media por hogar,2021,25.052
43519,2806504005 Getafe sección 04005,Renta neta media por hogar,2021,27.888
43561,2806504006 Getafe sección 04006,Renta neta media por hogar,2021,26.371
43603,2806504007 Getafe sección 04007,Renta neta media por hogar,2021,27.100
43645,2806504008 Getafe sección 04008,Renta neta media por hogar,2021,26.474
43687,2806504009 Getafe sección 04009,Renta neta media por hogar,2021,25.653
43729,2806504010 Getafe sección 04010,Renta neta media por hogar,2021,28.484
43771,2806504011 Getafe sección 04011,Renta neta media por hogar,2021,27.749
43813,2806504012 Getafe sección 04012,Renta neta media por hogar,2021,31.686
43855,2806504013 Getafe sección 04013,Renta neta media por hogar,2021,25.059
43897,2806504014 Getafe sección 04014,Renta neta media por hogar,2021,27.184
43939,2806504015 Getafe sección 04015,Renta neta media por hogar,2021,26.875
43981,2806504016 Getafe sección 04016,Renta neta media por hogar,2021,25.541
44023,2806504017 Getafe sección 04017,Renta neta media por hogar,2021,25.341
44065,2806504018 Getafe sección 04018,Renta neta media por hogar,2021,24.578
44107,2806504021 Getafe sección 04021,Renta neta media por hogar,2021,30.837
44149,2806504023 Getafe sección 04023,Renta neta media por hogar,2021,26.377
44191,2806504024 Getafe sección 04024,Renta neta media por hogar,2021,25.233
44233,2806504025 Getafe sección 04025,Renta neta media por hogar,2021,27.098
44275,2806504026 Getafe sección 04026,Renta neta media por hogar,2021,27.183
44317,2806504027 Getafe sección 04027,Renta neta media por hogar,2021,37.066
44359,2806504028 Getafe sección 04028,Renta neta media por hogar,2021,40.273
44401,2806504029 Getafe sección 04029,Renta neta media por hogar,2021,43.506
44443,2806504030 Getafe sección 04030,Renta neta media por hogar,2021,41.450
44485,2806504031 Getafe sección 04031,Renta neta media por hogar,2021,32.527
44527,2806504032 Getafe sección 04032,Renta neta media por hogar,2021,39.824
44569,2806504033 Getafe sección 04033,Renta neta media por hogar,2021,48.912
44611,2806504034 Getafe sección 04034,Renta neta media por hogar,2021,44.210
44653,2806504035 Getafe sección 04035,Renta neta media por hogar,2021,34.588
44695,2806504036 Getafe sección 04036,Renta neta media por hogar,2021,44.996
44737,2806504037 Getafe sección 04037,Renta neta media por hogar,2021,44.877
44779,2806504038 Getafe sección 04038,Renta neta media por hogar,2021,37.466
44821,2806504039 Getafe sección 04039,Renta neta media por hogar,2021,61.523
44947,2806601001 Griñón sección 01001,Renta neta media por hogar,2021,46.667
44989,2806601002 Griñón sección 01002,Renta neta media por hogar,2021,37.827
45031,2806601003 Griñón sección 01003,Renta neta media por hogar,2021,41.486
45073,2806601004 Griñón sección 01004,Renta neta media por hogar,2021,45.519
45115,2806601005 Griñón sección 01005,Renta neta media por hogar,2021,52.680
45241,2806701001 Guadalix de la Sierra sección 01001,Renta neta media por hogar,2021,30.085
45283,2806701002 Guadalix de la Sierra sección 01002,Renta neta media por hogar,2021,38.665
45325,2806701003 Guadalix de la Sierra sección 01003,Renta neta media por hogar,2021,38.057
45451,2806801001 Guadarrama sección 01001,Renta neta media por hogar,2021,31.620
45493,2806801002 Guadarrama sección 01002,Renta neta media por hogar,2021,39.571
45535,2806801003 Guadarrama sección 01003,Renta neta media por hogar,2021,33.279
45577,2806801004 Guadarrama sección 01004,Renta neta media por hogar,2021,36.835
45619,2806801005 Guadarrama sección 01005,Renta neta media por hogar,2021,40.432
45661,2806801006 Guadarrama sección 01006,Renta neta media por hogar,2021,37.306
45703,2806801007 Guadarrama sección 01007,Renta neta media por hogar,2021,51.732
45745,2806801008 Guadarrama sección 01008,Renta neta media por hogar,2021,43.550
45871,"2806901001 Hiruela, La sección 01001",Renta neta media por hogar,2021,27.228
45997,2807001001 Horcajo de la Sierra-Aoslos sección 01001,Renta neta media por hogar,2021,30.965
46123,2807101001 Horcajuelo de la Sierra sección 01001,Renta neta media por hogar,2021,27.318
46249,2807201001 Hoyo de Manzanares sección 01001,Renta neta media por hogar,2021,42.634
46291,2807201002 Hoyo de Manzanares sección 01002,Renta neta media por hogar,2021,42.773
46333,2807201003 Hoyo de Manzanares sección 01003,Renta neta media por hogar,2021,62.316
46459,2807301001 Humanes de Madrid sección 01001,Renta neta media por hogar,2021,35.729
46501,2807301002 Humanes de Madrid sección 01002,Renta neta media por hogar,2021,26.541
46543,2807301003 Humanes de Madrid sección 01003,Renta neta media por hogar,2021,27.509
46585,2807301004 Humanes de Madrid sección 01004,Renta neta media por hogar,2021,31.720
46627,2807301005 Humanes de Madrid sección 01005,Renta neta media por hogar,2021,30.605
46669,2807301006 Humanes de Madrid sección 01006,Renta neta media por hogar,2021,32.749
46711,2807301007 Humanes de Madrid sección 01007,Renta neta media por hogar,2021,35.289
46753,2807301008 Humanes de Madrid sección 01008,Renta neta media por hogar,2021,38.412
46879,2807401001 Leganés sección 01001,Renta neta media por hogar,2021,31.612
46921,2807401002 Leganés sección 01002,Renta neta media por hogar,2021,30.510
46963,2807401003 Leganés sección 01003,Renta neta media por hogar,2021,26.250
47005,2807401004 Leganés sección 01004,Renta neta media por hogar,2021,38.458
47047,2807401005 Leganés sección 01005,Renta neta media por hogar,2021,34.552
47089,2807401006 Leganés sección 01006,Renta neta media por hogar,2021,30.788
47131,2807401007 Leganés sección 01007,Renta neta media por hogar,2021,27.890
47173,2807401008 Leganés sección 01008,Renta neta media por hogar,2021,26.203
47215,2807401009 Leganés sección 01009,Renta neta media por hogar,2021,28.514
47257,2807401010 Leganés sección 01010,Renta neta media por hogar,2021,36.623
47299,2807401011 Leganés sección 01011,Renta neta media por hogar,2021,31.090
47341,2807401012 Leganés sección 01012,Renta neta media por hogar,2021,30.420
47383,2807401013 Leganés sección 01013,Renta neta media por hogar,2021,30.601
47425,2807401014 Leganés sección 01014,Renta neta media por hogar,2021,28.411
47467,2807401015 Leganés sección 01015,Renta neta media por hogar,2021,30.400
47509,2807401016 Leganés sección 01016,Renta neta media por hogar,2021,28.753
47551,2807401017 Leganés sección 01017,Renta neta media por hogar,2021,28.328
47593,2807401018 Leganés sección 01018,Renta neta media por hogar,2021,31.322
47635,2807401019 Leganés sección 01019,Renta neta media por hogar,2021,25.451
47677,2807401020 Leganés sección 01020,Renta neta media por hogar,2021,40.890
47719,2807401021 Leganés sección 01021,Renta neta media por hogar,2021,26.452
47761,2807401022 Leganés sección 01022,Renta neta media por hogar,2021,23.726
47803,2807401023 Leganés sección 01023,Renta neta media por hogar,2021,24.976
47845,2807401024 Leganés sección 01024,Renta neta media por hogar,2021,36.206
47887,2807401025 Leganés sección 01025,Renta neta media por hogar,2021,36.640
47929,2807401026 Leganés sección 01026,Renta neta media por hogar,2021,47.500
48013,2807402001 Leganés sección 02001,Renta neta media por hogar,2021,26.809
48055,2807402002 Leganés sección 02002,Renta neta media por hogar,2021,25.973
48097,2807402003 Leganés sección 02003,Renta neta media por hogar,2021,26.662
48139,2807402004 Leganés sección 02004,Renta neta media por hogar,2021,25.178
48181,2807402005 Leganés sección 02005,Renta neta media por hogar,2021,28.634
48223,2807402006 Leganés sección 02006,Renta neta media por hogar,2021,27.013
48265,2807402008 Leganés sección 02008,Renta neta media por hogar,2021,25.706
48307,2807402009 Leganés sección 02009,Renta neta media por hogar,2021,23.647
48349,2807402010 Leganés sección 02010,Renta neta media por hogar,2021,29.825
48391,2807402011 Leganés sección 02011,Renta neta media por hogar,2021,32.610
48433,2807402012 Leganés sección 02012,Renta neta media por hogar,2021,26.786
48475,2807402013 Leganés sección 02013,Renta neta media por hogar,2021,24.028
48517,2807402014 Leganés sección 02014,Renta neta media por hogar,2021,35.883
48559,2807402015 Leganés sección 02015,Renta neta media por hogar,2021,24.023
48601,2807402016 Leganés sección 02016,Renta neta media por hogar,2021,25.458
48643,2807402017 Leganés sección 02017,Renta neta media por hogar,2021,26.778
48685,2807402019 Leganés sección 02019,Renta neta media por hogar,2021,29.281
48727,2807402020 Leganés sección 02020,Renta neta media por hogar,2021,34.484
48769,2807402021 Leganés sección 02021,Renta neta media por hogar,2021,31.767
48811,2807402022 Leganés sección 02022,Renta neta media por hogar,2021,43.116
48895,2807403001 Leganés sección 03001,Renta neta media por hogar,2021,29.141
48937,2807403002 Leganés sección 03002,Renta neta media por hogar,2021,27.380
48979,2807403003 Leganés sección 03003,Renta neta media por hogar,2021,26.164
49021,2807403004 Leganés sección 03004,Renta neta media por hogar,2021,25.456
49063,2807403005 Leganés sección 03005,Renta neta media por hogar,2021,23.670
49105,2807403006 Leganés sección 03006,Renta neta media por hogar,2021,25.510
49147,2807403007 Leganés sección 03007,Renta neta media por hogar,2021,28.582
49189,2807403008 Leganés sección 03008,Renta neta media por hogar,2021,24.982
49231,2807403012 Leganés sección 03012,Renta neta media por hogar,2021,25.979
49273,2807403013 Leganés sección 03013,Renta neta media por hogar,2021,27.344
49315,2807403014 Leganés sección 03014,Renta neta media por hogar,2021,36.343
49357,2807403015 Leganés sección 03015,Renta neta media por hogar,2021,43.164
49399,2807403016 Leganés sección 03016,Renta neta media por hogar,2021,43.765
49441,2807403017 Leganés sección 03017,Renta neta media por hogar,2021,41.233
49483,2807403018 Leganés sección 03018,Renta neta media por hogar,2021,33.466
49525,2807403019 Leganés sección 03019,Renta neta media por hogar,2021,57.233
49567,2807403020 Leganés sección 03020,Renta neta media por hogar,2021,49.296
49609,2807403021 Leganés sección 03021,Renta neta media por hogar,2021,44.808
49651,2807403022 Leganés sección 03022,Renta neta media por hogar,2021,41.073
49693,2807403023 Leganés sección 03023,Renta neta media por hogar,2021,51.618
49735,2807403024 Leganés sección 03024,Renta neta media por hogar,2021,37.471
49819,2807404001 Leganés sección 04001,Renta neta media por hogar,2021,26.838
49861,2807404002 Leganés sección 04002,Renta neta media por hogar,2021,31.576
49903,2807404003 Leganés sección 04003,Renta neta media por hogar,2021,31.700
49945,2807404004 Leganés sección 04004,Renta neta media por hogar,2021,29.969
49987,2807404005 Leganés sección 04005,Renta neta media por hogar,2021,30.431
50029,2807404006 Leganés sección 04006,Renta neta media por hogar,2021,29.748
50071,2807404007 Leganés sección 04007,Renta neta media por hogar,2021,33.109
50113,2807404008 Leganés sección 04008,Renta neta media por hogar,2021,29.622
50155,2807404009 Leganés sección 04009,Renta neta media por hogar,2021,27.460
50197,2807404010 Leganés sección 04010,Renta neta media por hogar,2021,29.069
50239,2807404011 Leganés sección 04011,Renta neta media por hogar,2021,27.862
50281,2807404012 Leganés sección 04012,Renta neta media por hogar,2021,26.709
50323,2807404013 Leganés sección 04013,Renta neta media por hogar,2021,32.517
50365,2807404014 Leganés sección 04014,Renta neta media por hogar,2021,30.520
50407,2807404015 Leganés sección 04015,Renta neta media por hogar,2021,30.864
50449,2807404016 Leganés sección 04016,Renta neta media por hogar,2021,31.695
50491,2807404017 Leganés sección 04017,Renta neta media por hogar,2021,33.085
50533,2807404018 Leganés sección 04018,Renta neta media por hogar,2021,27.767
50575,2807404019 Leganés sección 04019,Renta neta media por hogar,2021,31.837
50617,2807404020 Leganés sección 04020,Renta neta media por hogar,2021,31.158
50659,2807404021 Leganés sección 04021,Renta neta media por hogar,2021,30.645
50701,2807404022 Leganés sección 04022,Renta neta media por hogar,2021,29.363
50743,2807404023 Leganés sección 04023,Renta neta media por hogar,2021,27.657
50785,2807404024 Leganés sección 04024,Renta neta media por hogar,2021,31.166
50827,2807404025 Leganés sección 04025,Renta neta media por hogar,2021,29.672
50869,2807404026 Leganés sección 04026,Renta neta media por hogar,2021,30.879
50911,2807404027 Leganés sección 04027,Renta neta media por hogar,2021,32.021
50953,2807404028 Leganés sección 04028,Renta neta media por hogar,2021,29.255
50995,2807404029 Leganés sección 04029,Renta neta media por hogar,2021,30.051
51037,2807404030 Leganés sección 04030,Renta neta media por hogar,2021,29.333
51079,2807404031 Leganés sección 04031,Renta neta media por hogar,2021,28.946
51121,2807404032 Leganés sección 04032,Renta neta media por hogar,2021,29.415
51163,2807404033 Leganés sección 04033,Renta neta media por hogar,2021,28.812
51205,2807404034 Leganés sección 04034,Renta neta media por hogar,2021,28.682
51247,2807404035 Leganés sección 04035,Renta neta media por hogar,2021,30.211
51289,2807404036 Leganés sección 04036,Renta neta media por hogar,2021,29.542
51331,2807404037 Leganés sección 04037,Renta neta media por hogar,2021,36.016
51373,2807404038 Leganés sección 04038,Renta neta media por hogar,2021,29.271
51415,2807404039 Leganés sección 04039,Renta neta media por hogar,2021,29.410
51457,2807404040 Leganés sección 04040,Renta neta media por hogar,2021,30.906
51499,2807404041 Leganés sección 04041,Renta neta media por hogar,2021,28.296
51583,2807405001 Leganés sección 05001,Renta neta media por hogar,2021,40.287
51625,2807405002 Leganés sección 05002,Renta neta media por hogar,2021,42.470
51667,2807405003 Leganés sección 05003,Renta neta media por hogar,2021,41.915
51709,2807405004 Leganés sección 05004,Renta neta media por hogar,2021,46.993
51751,2807405005 Leganés sección 05005,Renta neta media por hogar,2021,47.955
51793,2807405006 Leganés sección 05006,Renta neta media por hogar,2021,42.152
51835,2807405007 Leganés sección 05007,Renta neta media por hogar,2021,35.215
51877,2807405008 Leganés sección 05008,Renta neta media por hogar,2021,48.658
51919,2807405009 Leganés sección 05009,Renta neta media por hogar,2021,38.962
51961,2807405010 Leganés sección 05010,Renta neta media por hogar,2021,46.905
52003,2807405011 Leganés sección 05011,Renta neta media por hogar,2021,28.008
52045,2807405012 Leganés sección 05012,Renta neta media por hogar,2021,40.696
52087,2807405013 Leganés sección 05013,Renta neta media por hogar,2021,46.201
52129,2807405014 Leganés sección 05014,Renta neta media por hogar,2021,44.710
52171,2807405015 Leganés sección 05015,Renta neta media por hogar,2021,48.172
52213,2807405016 Leganés sección 05016,Renta neta media por hogar,2021,41.074
52255,2807405017 Leganés sección 05017,Renta neta media por hogar,2021,40.203
52297,2807405018 Leganés sección 05018,Renta neta media por hogar,2021,37.128
52339,2807405019 Leganés sección 05019,Renta neta media por hogar,2021,46.735
52381,2807405020 Leganés sección 05020,Renta neta media por hogar,2021,37.577
52465,2807406001 Leganés sección 06001,Renta neta media por hogar,2021,25.773
52507,2807406002 Leganés sección 06002,Renta neta media por hogar,2021,24.667
52549,2807406003 Leganés sección 06003,Renta neta media por hogar,2021,34.195
52591,2807406004 Leganés sección 06004,Renta neta media por hogar,2021,25.510
52633,2807406005 Leganés sección 06005,Renta neta media por hogar,2021,24.302
52675,2807406006 Leganés sección 06006,Renta neta media por hogar,2021,24.365
52717,2807406008 Leganés sección 06008,Renta neta media por hogar,2021,25.303
52759,2807406009 Leganés sección 06009,Renta neta media por hogar,2021,
52801,2807406010 Leganés sección 06010,Renta neta media por hogar,2021,35.221
52885,2807407001 Leganés sección 07001,Renta neta media por hogar,2021,58.065
52927,2807407002 Leganés sección 07002,Renta neta media por hogar,2021,50.742
52969,2807407003 Leganés sección 07003,Renta neta media por hogar,2021,54.240
53011,2807407004 Leganés sección 07004,Renta neta media por hogar,2021,54.189
53053,2807407005 Leganés sección 07005,Renta neta media por hogar,2021,51.590
53095,2807407006 Leganés sección 07006,Renta neta media por hogar,2021,41.834
53137,2807407007 Leganés sección 07007,Renta neta media por hogar,2021,41.348
53263,2807501001 Loeches sección 01001,Renta neta media por hogar,2021,31.724
53305,2807501002 Loeches sección 01002,Renta neta media por hogar,2021,32.092
53347,2807501003 Loeches sección 01003,Renta neta media por hogar,2021,40.823
53389,2807501004 Loeches sección 01004,Renta neta media por hogar,2021,46.783
53431,2807501005 Loeches sección 01005,Renta neta media por hogar,2021,39.406
53557,2807601001 Lozoya sección 01001,Renta neta media por hogar,2021,34.281
53683,2807801001 Madarcos sección 01001,Renta neta media por hogar,2021,27.228
53809,2807901001 Madrid sección 01001,Renta neta media por hogar,2021,51.617
53851,2807901002 Madrid sección 01002,Renta neta media por hogar,2021,37.684
53893,2807901003 Madrid sección 01003,Renta neta media por hogar,2021,38.080
53935,2807901004 Madrid sección 01004,Renta neta media por hogar,2021,56.558
53977,2807901006 Madrid sección 01006,Renta neta media por hogar,2021,47.485
54019,2807901007 Madrid sección 01007,Renta neta media por hogar,2021,41.390
54061,2807901008 Madrid sección 01008,Renta neta media por hogar,2021,44.393
54103,2807901009 Madrid sección 01009,Renta neta media por hogar,2021,41.711
54145,2807901011 Madrid sección 01011,Renta neta media por hogar,2021,38.042
54187,2807901012 Madrid sección 01012,Renta neta media por hogar,2021,35.645
54229,2807901013 Madrid sección 01013,Renta neta media por hogar,2021,29.650
54271,2807901014 Madrid sección 01014,Renta neta media por hogar,2021,38.971
54313,2807901015 Madrid sección 01015,Renta neta media por hogar,2021,38.618
54355,2807901016 Madrid sección 01016,Renta neta media por hogar,2021,40.352
54397,2807901018 Madrid sección 01018,Renta neta media por hogar,2021,40.379
54439,2807901019 Madrid sección 01019,Renta neta media por hogar,2021,37.922
54481,2807901020 Madrid sección 01020,Renta neta media por hogar,2021,34.764
54523,2807901021 Madrid sección 01021,Renta neta media por hogar,2021,39.533
54565,2807901022 Madrid sección 01022,Renta neta media por hogar,2021,36.129
54607,2807901023 Madrid sección 01023,Renta neta media por hogar,2021,28.631
54649,2807901024 Madrid sección 01024,Renta neta media por hogar,2021,33.286
54691,2807901025 Madrid sección 01025,Renta neta media por hogar,2021,43.097
54733,2807901026 Madrid sección 01026,Renta neta media por hogar,2021,43.941
54775,2807901027 Madrid sección 01027,Renta neta media por hogar,2021,43.108
54817,2807901028 Madrid sección 01028,Renta neta media por hogar,2021,35.151
54859,2807901029 Madrid sección 01029,Renta neta media por hogar,2021,33.142
54901,2807901030 Madrid sección 01030,Renta neta media por hogar,2021,29.200
54943,2807901031 Madrid sección 01031,Renta neta media por hogar,2021,26.334
54985,2807901032 Madrid sección 01032,Renta neta media por hogar,2021,38.276
55027,2807901033 Madrid sección 01033,Renta neta media por hogar,2021,30.120
55069,2807901034 Madrid sección 01034,Renta neta media por hogar,2021,24.453
55111,2807901035 Madrid sección 01035,Renta neta media por hogar,2021,28.744
55153,2807901036 Madrid sección 01036,Renta neta media por hogar,2021,27.511
55195,2807901037 Madrid sección 01037,Renta neta media por hogar,2021,30.553
55237,2807901038 Madrid sección 01038,Renta neta media por hogar,2021,25.568
55279,2807901039 Madrid sección 01039,Renta neta media por hogar,2021,28.222
55321,2807901040 Madrid sección 01040,Renta neta media por hogar,2021,31.327
55363,2807901041 Madrid sección 01041,Renta neta media por hogar,2021,31.000
55405,2807901042 Madrid sección 01042,Renta neta media por hogar,2021,29.944
55447,2807901043 Madrid sección 01043,Renta neta media por hogar,2021,26.276
55489,2807901045 Madrid sección 01045,Renta neta media por hogar,2021,33.884
